Reference Year,Local Government,Waste Resource Recovery Group WRRG,Garbage Annual Tonnes Collected,Recycling Annual Tonnes Collected,Recycling Annual Tonnes  Processed sorted,Organics Annual Tonnes Collected,Organics Annual Tonnes Processed,Total Annual Tonnes of Waste Collected,Total Annual Tonnes of Waste Processed Sorted
2001-2002,Alpine Shire Council,North East ,2343.0,684.5,683.0,0.0,0.0,3027.5,683.0
2001-2002,Ararat Rural City Council,Grampians Central West ,3434.24,615.2,587.0,0.0,0.0,4049.4399999999996,587.0
2001-2002,Ballarat City Council,Grampians Central West ,16000.0,6100.0,4840.0,1497.0,1497.0,23597.0,6337.0
2001-2002,Banyule City Council,Metropolitan ,19134.0,10872.0,10231.0,6517.0,6517.0,36523.0,16748.0
2001-2002,Bass Coast Shire Council,Gippsland ,5087.0,2490.0,2490.0,0.0,0.0,7577.0,2490.0
2001-2002,Baw Baw Shire Council,Gippsland ,8388.0,1406.9,1060.4,583.35,583.35,10378.25,1643.75
2001-2002,Bayside City Council,Metropolitan ,22180.0,8005.0,7748.7002,7800.0,7800.0,37985.0,15548.7002
2001-2002,Boroondara City Council,Metropolitan ,38107.0,16749.0,16023.0,9129.0,9129.0,63985.0,25152.0
2001-2002,Brimbank City Council,Metropolitan ,41550.0,9886.0,9886.0,2200.0,2200.0,53636.0,12086.0
2001-2002,Buloke Shire Council,Loddon Mallee ,1776.0,247.0,237.0,0.0,0.0,2023.0,237.0
2001-2002,Campaspe Shire Council,Goulburn Valley ,12788.0,1045.0,1045.0,0.0,0.0,13833.0,1045.0
2001-2002,Cardinia Shire Council,Metropolitan ,8600.0,4080.0,2937.6001,59.0,59.0,12739.0,2996.6001
2001-2002,Casey City Council,Metropolitan ,38533.0,14636.0,12552.0,7059.29,7059.29,60228.29,19611.29
2001-2002,Central Goldfields Shire Council,Grampians Central West ,2470.0,580.0,554.0,15.0,15.0,3065.0,569.0
2001-2002,Colac Otway Shire Council,Barwon South West ,2800.0,1015.6,1015.6,930.0,315.0,4745.6,1330.6
2001-2002,Corangamite Shire Council,Barwon South West ,2160.0,636.0,456.0,700.0,480.0,3496.0,936.0
2001-2002,Darebin City Council,Metropolitan ,27180.0,10585.0,10270.0,5198.0,5198.0,42963.0,15468.0
2001-2002,Delatite Shire Council,North East ,5400.0,4224.2002,4097.5,0.0,0.0,9624.2002,4097.5
2001-2002,East Gippsland Shire Council,Gippsland ,8503.2998,2231.0,1775.0,0.0,0.0,10734.2998,1775.0
2001-2002,Frankston City Council,Metropolitan ,18495.0,8817.0,8442.0,0.0,0.0,27312.0,8442.0
2001-2002,Gannawarra Shire Council,Loddon Mallee ,2465.0,1200.0,1100.0,0.0,0.0,3665.0,1100.0
2001-2002,Glen Eira City Council,Metropolitan ,41249.0,7785.0,7696.0,2500.0,2182.0,51534.0,9878.0
2001-2002,Glenelg Shire Council,Barwon South West ,1571.4,780.0,495.0,0.0,0.0,2351.4,495.0
2001-2002,Golden Plains Shire Council,Grampians Central West ,3800.0,0.0,0.0,0.0,0.0,3800.0,0.0
2001-2002,Greater Bendigo City Council,Loddon Mallee ,26075.0,3552.0,3367.0,0.0,0.0,29627.0,3367.0
2001-2002,Greater Dandenong City Council,Metropolitan ,31822.0,11191.0,8447.0,382.44,382.44,43395.44,8829.44
2001-2002,Greater Geelong City Council,Barwon South West ,51426.0,11585.7197,11585.7197,0.0,0.0,63011.7197,11585.7197
2001-2002,Greater Shepparton City Council,Goulburn Valley ,16667.0,4043.0,4035.0,0.0,0.0,20710.0,4035.0
2001-2002,Hepburn Shire Council,Grampians Central West ,2730.0,562.0,560.9,0.0,0.0,3292.0,560.9
2001-2002,Hindmarsh Shire Council,Grampians Central West ,1017.6,807.9,599.9,0.0,0.0,1825.5,599.9
2001-2002,Hobsons Bay City Council,Metropolitan ,19822.8203,6496.8599,6293.0498,2269.0,2269.0,28588.6802,8562.0498
2001-2002,Horsham Rural City Council,Grampians Central West ,5190.1001,640.0,593.0,0.0,0.0,5830.1001,593.0
2001-2002,Hume City Council,Metropolitan ,38382.0,6155.2998,6090.5,0.0,0.0,44537.2998,6090.5
2001-2002,Indigo Shire Council,North East ,2326.0,673.7,625.0,0.0,0.0,2999.7,625.0
2001-2002,Kingston City Council,Metropolitan ,27623.0,13111.0,12760.0,10667.0,10667.0,51401.0,23427.0
2001-2002,Knox City Council,Metropolitan ,22500.0,12719.0,11894.0,11500.0,11500.0,46719.0,23394.0
2001-2002,Latrobe City Council,Gippsland ,24200.0,2561.0,2430.0,940.0,940.0,27701.0,3370.0
2001-2002,Loddon Shire Council,Loddon Mallee ,1942.0,0.0,0.0,0.0,0.0,1942.0,0.0
2001-2002,Macedon Ranges Shire Council,Loddon Mallee ,6500.0,2943.0,2543.0,0.0,0.0,9443.0,2543.0
2001-2002,Manningham City Council,Metropolitan ,21302.0,10543.0,10016.0,12544.0,12544.0,44389.0,22560.0
2001-2002,Maribyrnong City Council,Metropolitan ,15900.0,5010.0,4860.0,993.0,993.0,21903.0,5853.0
2001-2002,Maroondah City Council,Metropolitan ,17649.4004,9745.0,9311.0,12411.0,12287.0,39805.4004,21598.0
2001-2002,Melbourne City Council,Metropolitan ,14317.0,2589.8,2508.99,0.0,0.0,16906.8,2508.99
2001-2002,Melton Shire Council,Metropolitan ,12709.0,4147.0098,3342.9099,0.0,0.0,16856.0098,3342.9099
2001-2002,Mildura Rural City Council,Loddon Mallee ,9220.4004,2755.1599,2755.1599,0.0,0.0,11975.560300000001,2755.1599
2001-2002,Mitchell Shire Council,Goulburn Valley ,4700.0,2580.0,2193.0,0.0,0.0,7280.0,2193.0
2001-2002,Moira Shire Council,Goulburn Valley ,8000.0,2361.8899,2361.8899,0.0,0.0,10361.8899,2361.8899
2001-2002,Monash City Council,Metropolitan ,48913.6211,11494.9297,10920.1797,5411.0,5411.0,65819.5508,16331.1797
2001-2002,Moonee Valley City Council,Metropolitan ,35620.0,6571.5,6440.1001,562.3,562.3,42753.8,7002.4001
2001-2002,Moorabool Shire Council,Grampians Central West ,4086.0,1098.322,1098.3199,0.0,0.0,5184.322,1098.3199
2001-2002,Moreland City Council,Metropolitan ,28611.0,11892.0,10497.0,5514.0,5514.0,46017.0,16011.0
2001-2002,Mornington Peninsula Shire Council,Metropolitan ,46555.0,9826.0,9826.0,0.0,0.0,56381.0,9826.0
2001-2002,Mount Alexander Shire Council,Loddon Mallee ,4500.0,487.37,485.37,0.0,0.0,4987.37,485.37
2001-2002,Moyne Shire Council,Barwon South West ,2254.0,153.0,107.0,1385.0,0.0,3792.0,107.0
2001-2002,Murrindindi Shire Council,Goulburn Valley ,3358.0,387.0,378.0,0.0,0.0,3745.0,378.0
2001-2002,Nillumbik Shire Council,Metropolitan ,8250.0,5591.0,5380.0,1203.0,1203.0,15044.0,6583.0
2001-2002,Northern Grampians Shire Council,Grampians Central West ,2789.9399,1173.24,1138.03,0.0,0.0,3963.1799,1138.03
2001-2002,Port Phillip City Council,Metropolitan ,19047.0,8610.0,8223.0,90.0,90.0,27747.0,8313.0
2001-2002,Pyrenees Shire Council,Grampians Central West ,728.0,56.0,56.0,0.0,0.0,784.0,56.0
2001-2002,Queenscliffe Borough Council,Barwon South West ,1200.0,372.0,372.0,70.0,70.0,1642.0,442.0
2001-2002,South Gippsland Shire Council,Gippsland ,3808.0,1343.0,1236.0,0.0,0.0,5151.0,1236.0
2001-2002,Southern Grampians Shire Council,Barwon South West ,1280.0,683.0,678.0,0.0,0.0,1963.0,678.0
2001-2002,Stonnington City Council,Metropolitan ,21600.0,9714.0,9581.0,2400.0,2400.0,33714.0,11981.0
2001-2002,Strathbogie Shire Council,Goulburn Valley ,1089.0,604.8,544.6,0.0,0.0,1693.8,544.6
2001-2002,Surf Coast Shire Council,Barwon South West ,4759.0,1112.63,1036.71,0.0,0.0,5871.63,1036.71
2001-2002,Swan Hill Rural City Council,Loddon Mallee ,3800.0,2048.5,1708.5,0.0,0.0,5848.5,1708.5
2001-2002,Towong Shire Council,North East ,1386.0,185.0,163.0,0.0,0.0,1571.0,163.0
2001-2002,Wangaratta Rural City Council,North East ,6666.0,1084.6801,1075.0,0.0,0.0,7750.6801,1075.0
2001-2002,Warrnambool City Council,Barwon South West ,5127.0,2372.0,2185.0,0.0,0.0,7499.0,2185.0
2001-2002,Wellington Shire Council,Gippsland ,6897.0,2462.5,2083.98,0.0,0.0,9359.5,2083.98
2001-2002,West Wimmera Shire Council,Grampians Central West ,538.41,39.0,39.0,0.0,0.0,577.41,39.0
2001-2002,Whitehorse City Council,Metropolitan ,32500.0,12750.9004,12643.9004,2399.0,2399.0,47649.9004,15042.9004
2001-2002,Whittlesea City Council,Metropolitan ,23426.0,8693.3496,7981.8398,0.0,0.0,32119.3496,7981.8398
2001-2002,Wodonga City Council,North East ,8745.5996,4549.0,4049.0,585.0,585.0,13879.5996,4634.0
2001-2002,Wyndham City Council,Metropolitan ,20779.0,5347.0098,5347.0098,166.0,166.0,26292.0098,5513.0098
2001-2002,Yarra City Council,Metropolitan ,13006.0,6696.0,6419.0,230.9,230.9,19932.9,6649.9
2001-2002,Yarra Ranges Shire Council,Metropolitan ,28978.0,10222.0,8372.0,1072.0,1072.0,40272.0,9444.0
2001-2002,Yarriambiack Shire Council,Grampians Central West ,1560.0,0.0,0.0,0.0,0.0,1560.0,0.0
2002-2003,Alpine Shire Council,North East ,2604.0,732.0,730.0,0.0,0.0,3336.0,730.0
2002-2003,Ararat Rural City Council,Grampians Central West ,4993.0,482.3,472.49,0.0,0.0,5475.3,472.49
2002-2003,Ballarat City Council,Grampians Central West ,17090.0,5351.0,4565.0,2080.0,2080.0,24521.0,6645.0
2002-2003,Banyule City Council,Metropolitan ,18814.0,10950.0,10400.0,5308.0,5308.0,35072.0,15708.0
2002-2003,Bass Coast Shire Council,Gippsland ,5289.1899,2541.5701,2190.3701,0.0,0.0,7830.76,2190.3701
2002-2003,Baw Baw Shire Council,Gippsland ,6592.0,1328.649,1109.312,587.0,587.0,8507.649,1696.312
2002-2003,Bayside City Council,Metropolitan ,20810.0,7764.0,7565.0,6700.0,6700.0,35274.0,14265.0
2002-2003,Benalla Rural City Council,North East ,3415.8999,1292.4,1253.65,0.0,0.0,4708.2999,1253.65
2002-2003,Boroondara City Council,Metropolitan ,43262.0,15751.0,15330.0,9675.0,9675.0,68688.0,25005.0
2002-2003,Brimbank City Council,Metropolitan ,40600.0,10568.0,10399.0,1560.0,1560.0,52728.0,11959.0
2002-2003,Buloke Shire Council,Loddon Mallee ,1776.0,152.0,146.3,0.0,0.0,1928.0,146.3
2002-2003,Campaspe Shire Council,Goulburn Valley ,12399.0,971.0,971.0,0.0,0.0,13370.0,971.0
2002-2003,Cardinia Shire Council,Metropolitan ,10623.0,3087.0,2667.0,49.6,49.6,13759.6,2716.6
2002-2003,Casey City Council,Metropolitan ,35567.0,16482.0,14221.0,6836.0,6836.0,58885.0,21057.0
2002-2003,Central Goldfields Shire Council,Grampians Central West ,2500.0,706.2,639.3,60.0,60.0,3266.2,699.3
2002-2003,Colac Otway Shire Council,Barwon South West ,3100.0,903.5,903.5,2572.2,2572.2,6575.7,3475.7
2002-2003,Corangamite Shire Council,Barwon South West ,2236.0,632.09,632.09,696.0,645.0,3564.09,1277.0900000000001
